"filename", "language", "JSON", "JSON with Comments", "TypeScript", "Markdown", "Ignore", "Python", "JavaScript", "TypeScript JSX", "JavaScript JSX", "YAML", "PostCSS", "XML", "Protocol Buffers", "comment", "blank", "total"
"/home/david/workspace/GenFlow/libs/proto/src/socketio/socketio.client.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/david/workspace/GenFlow/libs/proto/src/socketio/socketio.proto", "Protocol Buffers", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 6, 29
"/home/david/workspace/GenFlow/libs/proto/src/socketio/socketio.ts", "TypeScript", 0, 0, 321, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 44, 371
"/home/david/workspace/GenFlow/libs/proto/src/team/team.client.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/home/david/workspace/GenFlow/libs/proto/src/team/team.proto", "Protocol Buffers", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 12, 79
"/home/david/workspace/GenFlow/libs/proto/src/team/team.ts", "TypeScript", 0, 0, 1033, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 134, 1173
"/home/david/workspace/GenFlow/libs/proto/src/user/user.client.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/home/david/workspace/GenFlow/libs/proto/src/user/user.proto", "Protocol Buffers", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 14, 95
"/home/david/workspace/GenFlow/libs/proto/src/user/user.ts", "TypeScript", 0, 0, 1299, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 149, 1454
"/home/david/workspace/GenFlow/libs/proto/tsconfig.json", "JSON with Comments", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/home/david/workspace/GenFlow/libs/proto/tsconfig.lib.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/david/workspace/GenFlow/libs/shared/README.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/home/david/workspace/GenFlow/libs/shared/project.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/david/workspace/GenFlow/libs/shared/src/config/gRPC_client.config.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/home/david/workspace/GenFlow/libs/shared/src/config/pino.config.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"/home/david/workspace/GenFlow/libs/shared/src/default-exception.filter.ts", "TypeScript", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 79
"/home/david/workspace/GenFlow/libs/shared/src/grpc-exception.filter.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/home/david/workspace/GenFlow/libs/shared/src/index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/david/workspace/GenFlow/libs/shared/src/schema/genworker.schema.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 25
"/home/david/workspace/GenFlow/libs/shared/src/schema/project.shema.ts", "TypeScript", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 91
"/home/david/workspace/GenFlow/libs/shared/src/schema/task.shema.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 25
"/home/david/workspace/GenFlow/libs/shared/src/schema/team.shema.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 22
"/home/david/workspace/GenFlow/libs/shared/src/schema/user.shema.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 27
"/home/david/workspace/GenFlow/libs/shared/src/service_name.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/home/david/workspace/GenFlow/libs/shared/src/services_config.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 35
"/home/david/workspace/GenFlow/libs/shared/src/sharedServices/health.controller.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/home/david/workspace/GenFlow/libs/shared/src/sharedServices/response.service.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 43
